DATE_TIME,current_contract,next_contract,carry_contract
2000-04-03 05:00:00.000000,20000500,20000700,20000300
2000-06-02 05:00:00.000000,20000700,20000900,20000500
2000-09-05 05:00:00.000000,20000900,20001200,20000700
2000-12-01 06:00:00.000000,20001200,20010300,20000900
2001-01-31 06:00:00.000000,20010300,20010500,20001200
2001-04-02 05:00:00.000000,20010500,20010700,20010300
2001-06-04 05:00:00.000000,20010700,20010900,20010500
2001-09-04 05:00:00.000000,20010900,20011200,20010700
2001-12-03 06:00:00.000000,20011200,20020300,20010900
2002-01-31 06:00:00.000000,20020300,20020500,20011200
2002-04-02 06:00:00.000000,20020500,20020700,20020300
2002-06-03 05:00:00.000000,20020700,20020900,20020500
2002-09-03 05:00:00.000000,20020900,20021200,20020700
2002-12-02 06:00:00.000000,20021200,20030300,20020900
2003-01-31 06:00:00.000000,20030300,20030500,20021200
2003-04-02 06:00:00.000000,20030500,20030700,20030300
2003-06-02 05:00:00.000000,20030700,20030900,20030500
2003-09-02 05:00:00.000000,20030900,20031200,20030700
2003-12-02 06:00:00.000000,20031200,20040300,20030900
2004-02-02 06:00:00.000000,20040300,20040500,20031200
2004-04-02 06:00:00.000000,20040500,20040700,20040300
2004-06-02 05:00:00.000000,20040700,20040900,20040500
2004-09-02 05:00:00.000000,20040900,20041200,20040700
2004-12-01 06:00:00.000000,20041200,20050300,20040900
2005-01-31 06:00:00.000000,20050300,20050500,20041200
2005-04-04 05:00:00.000000,20050500,20050700,20050300
2005-06-02 05:00:00.000000,20050700,20050900,20050500
2005-09-02 05:00:00.000000,20050900,20051200,20050700
2005-12-01 06:00:00.000000,20051200,20060300,20050900
2006-01-31 06:00:00.000000,20060300,20060500,20051200
2006-04-03 05:00:00.000000,20060500,20060700,20060300
2006-06-02 05:00:00.000000,20060700,20060900,20060500
2006-09-05 05:00:00.000000,20060900,20061200,20060700
2006-12-01 06:00:00.000000,20061200,20070300,20060900
2007-01-31 06:00:00.000000,20070300,20070500,20061200
2007-04-02 05:00:00.000000,20070500,20070700,20070300
2007-06-04 05:00:00.000000,20070700,20070900,20070500
2007-09-04 05:00:00.000000,20070900,20071200,20070700
2007-12-03 06:00:00.000000,20071200,20080300,20070900
2008-02-01 06:00:00.000000,20080300,20080500,20071200
2008-04-02 05:00:00.000000,20080500,20080700,20080300
2008-06-02 05:00:00.000000,20080700,20080900,20080500
2008-09-02 05:00:00.000000,20080900,20081200,20080700
2008-12-01 06:00:00.000000,20081200,20090300,20080900
2009-02-02 06:00:00.000000,20090300,20090500,20081200
2009-04-02 05:00:00.000000,20090500,20090700,20090300
2009-06-02 05:00:00.000000,20090700,20090900,20090500
2009-09-02 05:00:00.000000,20090900,20091200,20090700
2009-12-01 06:00:00.000000,20091200,20100300,20090900
2010-02-01 06:00:00.000000,20100300,20100500,20091200
2010-04-05 05:00:00.000000,20100500,20100700,20100300
2010-06-02 05:00:00.000000,20100700,20100900,20100500
2010-09-02 05:00:00.000000,20100900,20101200,20100700
2010-12-01 06:00:00.000000,20101200,20110300,20100900
2011-01-31 06:00:00.000000,20110300,20110500,20101200
2011-04-04 05:00:00.000000,20110500,20110700,20110300
2011-06-02 05:00:00.000000,20110700,20110900,20110500
2011-09-02 05:00:00.000000,20110900,20111200,20110700
2011-12-02 06:00:00.000000,20111200,20120300,20110900
2012-02-01 06:00:00.000000,20120300,20120500,20111200
2012-04-02 05:00:00.000000,20120500,20120700,20120300
2012-06-04 05:00:00.000000,20120700,20120900,20120500
2012-09-04 05:00:00.000000,20120900,20121200,20120700
2012-12-03 06:00:00.000000,20121200,20130300,20120900
2013-01-31 06:00:00.000000,20130300,20130500,20121200
2013-04-02 05:00:00.000000,20130500,20130700,20130300
2013-06-03 05:00:00.000000,20130700,20130900,20130500
2013-09-03 05:00:00.000000,20130900,20131200,20130700
2013-12-02 06:00:00.000000,20131200,20140300,20130900
2014-01-31 06:00:00.000000,20140300,20140500,20131200
2014-04-02 05:00:00.000000,20140500,20140700,20140300
2014-06-02 05:00:00.000000,20140700,20140900,20140500
2014-09-02 05:00:00.000000,20140900,20141200,20140700
2014-12-01 06:00:00.000000,20141200,20150300,20140900
2015-02-02 06:00:00.000000,20150300,20150500,20141200
2015-04-02 05:00:00.000000,20150500,20150700,20150300
2015-06-02 05:00:00.000000,20150700,20150900,20150500
2015-09-02 05:00:00.000000,20150900,20151200,20150700
2015-12-02 06:00:00.000000,20151200,20160300,20150900
2016-02-01 06:00:00.000000,20160300,20160500,20151200
2016-04-04 05:00:00.000000,20160500,20160700,20160300
2016-06-02 05:00:00.000000,20160700,20160900,20160500
2016-09-02 05:00:00.000000,20160900,20161200,20160700
2016-12-01 06:00:00.000000,20161200,20170300,20160900
2017-01-31 06:00:00.000000,20170300,20170500,20161200
2017-04-03 05:00:00.000000,20170500,20170700,20170300
2017-06-02 05:00:00.000000,20170700,20170900,20170500
2017-09-05 05:00:00.000000,20170900,20171200,20170700
2017-12-01 06:00:00.000000,20171200,20180300,20170900
2018-01-31 06:00:00.000000,20180300,20180500,20171200
2018-04-02 05:00:00.000000,20180500,20180700,20180300
2018-06-04 05:00:00.000000,20180700,20180900,20180500
2018-09-04 05:00:00.000000,20180900,20181200,20180700
2018-12-03 06:00:00.000000,20181200,20190300,20180900
2019-01-31 06:00:00.000000,20190300,20190500,20181200
2019-04-02 05:00:00.000000,20190500,20190700,20190300
2019-06-03 05:00:00.000000,20190700,20190900,20190500
2019-09-03 05:00:00.000000,20190900,20191200,20190700
2019-12-02 06:00:00.000000,20191200,20200300,20190900
2020-02-03 06:00:00.000000,20200300,20200500,20191200
2020-04-02 05:00:00.000000,20200500,20200700,20200300
2020-06-02 05:00:00.000000,20200700,20200900,20200500
2020-09-02 05:00:00.000000,20200900,20201200,20200700
2020-12-01 06:00:00.000000,20201200,20210300,20200900
2021-02-01 06:00:00.000000,20210300,20210500,20201200
2021-04-05 05:00:00.000000,20210500,20210700,20210300
2021-06-02 05:00:00.000000,20210700,20210900,20210500
2021-09-02 05:00:00.000000,20210900,20211200,20210700
2021-12-01 06:00:00.000000,20211200,20220300,20210900
2022-01-31 06:00:00.000000,20220300,20220500,20211200
2022-04-04 05:00:00.000000,20220500,20220700,20220300
2022-06-02 05:00:00.000000,20220700,20220900,20220500
2022-09-02 05:00:00.000000,20220900,20221200,20220700
2022-12-01 06:00:00.000000,20221200,20230300,20220900
2023-01-31 06:00:00.000000,20230300,20230500,20221200
2023-04-03 05:00:00.000000,20230500,20230700,20230300
2023-06-02 05:00:00.000000,20230700,20230900,20230500
2023-09-05 05:00:00.000000,20230900,20231200,20230700
2023-12-04 06:00:00.000000,20231200,20240300,20230900
2024-02-01 06:00:00.000000,20240300,20240500,20231200
2024-03-12 13:00:00.000000,20240500,20240700,20240300
2024-05-15 05:00:00.000000,20240700,20240900,20240500
2024-07-17 23:00:00.000000,20240900,20241200,20240700
2024-09-13 08:00:00.000000,20241200,20250300,20240900
2024-12-13 23:00:00.000000,20250300,20250500,20241200
2025-03-14 23:00:00.000000,20250500,20250700,20250300
2025-05-15 23:00:00.000000,20250700,20250900,20250500
2025-07-17 23:00:00.000000,20250900,20251200,20250700
2025-09-16 23:00:00.000000,20251200,20260300,20250900
2025-12-16 23:00:00.000000,20260300,20260500,20251200
2026-03-17 23:00:00.000000,20260500,20260700,20260300
2026-05-14 23:00:00.000000,20260700,20260900,20260500
2026-06-12 23:00:00.000000,20260900,20261200,20260700
2026-06-20 15:52:18.567762,20261200,20270300,20260900
