DATE_TIME,current_contract,next_contract,carry_contract
2000-01-28 06:00:00.000000,20000200,20000400,20000400
2000-03-28 06:00:00.000000,20000400,20000600,20000600
2000-05-26 05:00:00.000000,20000600,20000800,20000800
2000-07-28 05:00:00.000000,20000800,20001000,20001000
2000-09-27 05:00:00.000000,20001000,20001200,20001200
2000-11-27 06:00:00.000000,20001200,20010200,20010200
2001-01-29 06:00:00.000000,20010200,20010400,20010400
2001-03-28 06:00:00.000000,20010400,20010600,20010600
2001-05-29 05:00:00.000000,20010600,20010800,20010800
2001-07-27 05:00:00.000000,20010800,20011000,20011000
2001-09-27 05:00:00.000000,20011000,20011200,20011200
2001-11-27 06:00:00.000000,20011200,20020200,20020200
2002-01-28 06:00:00.000000,20020200,20020400,20020400
2002-03-28 06:00:00.000000,20020400,20020600,20020600
2002-05-28 05:00:00.000000,20020600,20020800,20020800
2002-07-29 05:00:00.000000,20020800,20021000,20021000
2002-09-27 05:00:00.000000,20021000,20021200,20021200
2002-11-27 06:00:00.000000,20021200,20030200,20030200
2003-01-28 06:00:00.000000,20030200,20030400,20030400
2003-03-28 06:00:00.000000,20030400,20030600,20030600
2003-05-28 05:00:00.000000,20030600,20030800,20030800
2003-07-28 05:00:00.000000,20030800,20031000,20031000
2003-09-26 05:00:00.000000,20031000,20031200,20031200
2003-11-26 06:00:00.000000,20031200,20040200,20040200
2004-01-28 06:00:00.000000,20040200,20040400,20040400
2004-03-29 06:00:00.000000,20040400,20040600,20040600
2004-05-28 05:00:00.000000,20040600,20040800,20040800
2004-07-28 05:00:00.000000,20040800,20041000,20041000
2004-09-27 05:00:00.000000,20041000,20041200,20041200
2004-11-29 06:00:00.000000,20041200,20050200,20050200
2005-01-28 06:00:00.000000,20050200,20050400,20050400
2005-03-28 06:00:00.000000,20050400,20050600,20050600
2005-05-27 05:00:00.000000,20050600,20050800,20050800
2005-07-28 05:00:00.000000,20050800,20051000,20051000
2005-09-27 05:00:00.000000,20051000,20051200,20051200
2005-11-28 06:00:00.000000,20051200,20060200,20060200
2006-01-27 06:00:00.000000,20060200,20060400,20060400
2006-03-28 06:00:00.000000,20060400,20060600,20060600
2006-05-26 05:00:00.000000,20060600,20060800,20060800
2006-07-28 05:00:00.000000,20060800,20061000,20061000
2006-09-27 05:00:00.000000,20061000,20061200,20061200
2006-11-27 06:00:00.000000,20061200,20070200,20070200
2007-01-29 06:00:00.000000,20070200,20070400,20070400
2007-03-28 05:00:00.000000,20070400,20070600,20070600
2007-05-29 05:00:00.000000,20070600,20070800,20070800
2007-07-27 05:00:00.000000,20070800,20071000,20071000
2007-09-27 05:00:00.000000,20071000,20071200,20071200
2007-11-27 06:00:00.000000,20071200,20080200,20080200
2008-01-28 06:00:00.000000,20080200,20080400,20080400
2008-03-28 05:00:00.000000,20080400,20080600,20080600
2008-05-28 05:00:00.000000,20080600,20080800,20080800
2008-07-28 05:00:00.000000,20080800,20081000,20081000
2008-09-26 00:00:00.000000,20081000,20081200,20081200
2008-11-27 00:00:00.000000,20081200,20090200,20090200
2009-01-28 00:00:00.000000,20090200,20090400,20090400
2009-03-27 00:00:00.000000,20090400,20090600,20090600
2009-05-28 00:00:00.000000,20090600,20090800,20090800
2009-07-28 00:00:00.000000,20090800,20091000,20091000
2009-09-27 22:00:00.000000,20091000,20091200,20091200
