DATE_TIME,current_contract,next_contract,carry_contract
2024-07-22 01:15:00.000000,20240700,20240800,20240800
2024-08-22 01:15:00.000000,20240800,20240900,20240900
2024-09-23 01:15:00.000000,20240900,20241000,20241000
2024-10-22 01:15:00.000000,20241000,20241100,20241100
2024-11-22 01:15:00.000000,20241100,20241200,20241200
2024-12-23 01:15:00.000000,20241200,20250100,20250100
2025-01-22 01:15:00.000000,20250100,20250200,20250200
2025-02-21 01:15:00.000000,20250200,20250300,20250300
2025-03-21 01:15:00.000000,20250300,20250400,20250400
2025-04-22 01:15:00.000000,20250400,20250500,20250500
2025-05-22 01:15:00.000000,20250500,20250600,20250600
2025-06-23 01:15:00.000000,20250600,20250700,20250700
2025-07-22 01:15:00.000000,20250700,20250800,20250800
2025-08-22 01:15:00.000000,20250800,20250900,20250900
2025-09-22 01:15:00.000000,20250900,20251000,20251000
2025-10-22 01:15:00.000000,20251000,20251100,20251100
2025-11-21 01:15:00.000000,20251100,20251200,20251200
2025-12-22 01:15:00.000000,20251200,20260100,20260100
2026-01-22 01:15:00.000000,20260100,20260200,20260200
2026-02-23 01:15:00.000000,20260200,20260300,20260300
2026-03-23 01:15:00.000000,20260300,20260400,20260400
2026-04-22 01:15:00.000000,20260400,20260500,20260500
2026-05-22 01:15:00.000000,20260500,20260600,20260600
2026-06-22 01:15:00.000000,20260600,20260700,20260700
2026-07-22 01:15:00.000000,20260700,20260800,20260800
2026-08-03 14:46:19.442211,20260800,20260900,20260900
