DATE_TIME,current_contract,next_contract,carry_contract
2024-08-06 06:00:00.000000,20240800,20240900,20240900
2024-09-06 12:00:00.000000,20240900,20241000,20241000
2024-10-07 08:00:00.000000,20241000,20241100,20241100
2024-11-06 08:00:00.000000,20241100,20241200,20241200
2024-12-05 08:00:00.000000,20241200,20250100,20250100
2025-01-06 07:00:00.000000,20250100,20250200,20250200
2025-02-06 12:00:00.000000,20250200,20250300,20250300
2025-03-05 08:00:00.000000,20250300,20250400,20250400
2025-04-07 06:00:00.000000,20250400,20250500,20250500
2025-05-06 09:00:00.000000,20250500,20250600,20250600
2025-06-06 13:00:00.000000,20250600,20250700,20250700
2025-07-07 06:00:00.000000,20250700,20250800,20250800
2025-08-06 06:00:00.000000,20250800,20250900,20250900
2025-09-05 11:00:00.000000,20250900,20251000,20251000
2025-10-06 06:00:00.000000,20251000,20251100,20251100
2025-11-06 13:00:00.000000,20251100,20251200,20251200
2025-12-05 08:00:00.000000,20251200,20260100,20260100
2026-01-06 09:00:00.000000,20260100,20260200,20260200
2026-02-06 08:00:00.000000,20260200,20260300,20260300
2026-03-06 08:00:00.000000,20260300,20260400,20260400
2026-04-07 13:00:00.000000,20260400,20260500,20260500
2026-05-06 08:00:00.000000,20260500,20260600,20260600
2026-06-09 13:00:00.000000,20260600,20260700,20260700
2026-07-06 13:00:00.000000,20260700,20260800,20260800
2026-08-03 14:47:15.644940,20260800,20260900,20260900
