DATE_TIME,current_contract,next_contract,carry_contract
2011-03-14 05:00:00.000000,20110300,20110600,20110600
2011-06-13 05:00:00.000000,20110600,20110900,20110900
2011-09-13 05:00:00.000000,20110900,20111200,20111200
2011-12-13 06:00:00.000000,20111200,20120300,20120300
2012-03-13 05:00:00.000000,20120300,20120600,20120600
2012-06-13 00:00:00.000000,20120600,20120900,20120900
2012-09-13 00:00:00.000000,20120900,20121200,20121200
2012-12-13 00:00:00.000000,20121200,20130300,20130300
2013-03-13 00:00:00.000000,20130300,20130600,20130600
2013-06-13 00:00:00.000000,20130600,20130900,20130900
2013-09-13 00:00:00.000000,20130900,20131200,20131200
2013-12-13 00:00:00.000000,20131200,20140300,20140300
2014-03-13 00:00:00.000000,20140300,20140600,20140600
2014-06-13 00:00:00.000000,20140600,20140900,20140900
2014-09-12 00:00:00.000000,20140900,20141200,20141200
2014-12-12 00:00:00.000000,20141200,20150300,20150300
2015-03-13 00:00:00.000000,20150300,20150600,20150600
2015-06-12 00:00:00.000000,20150600,20150900,20150900
2015-09-13 22:00:00.000000,20150900,20151200,20151200
2015-12-13 23:00:00.000000,20151200,20160300,20160300
2016-03-13 22:00:00.000000,20160300,20160600,20160600
2016-06-13 00:00:00.000000,20160600,20160900,20160900
2016-09-13 00:00:00.000000,20160900,20161200,20161200
2016-12-13 00:00:00.000000,20161200,20170300,20170300
2017-03-13 00:00:00.000000,20170300,20170600,20170600
2017-06-13 00:00:00.000000,20170600,20170900,20170900
2017-09-13 00:00:00.000000,20170900,20171200,20171200
2017-12-13 00:00:00.000000,20171200,20180300,20180300
2018-03-13 00:00:00.000000,20180300,20180600,20180600
2018-06-13 00:00:00.000000,20180600,20180900,20180900
2018-09-13 00:00:00.000000,20180900,20181200,20181200
2018-12-13 00:00:00.000000,20181200,20190300,20190300
2019-03-13 00:00:00.000000,20190300,20190600,20190600
2019-06-13 00:00:00.000000,20190600,20190900,20190900
2019-09-13 00:00:00.000000,20190900,20191200,20191200
2019-12-13 00:00:00.000000,20191200,20200300,20200300
2020-03-13 00:00:00.000000,20200300,20200600,20200600
2020-06-12 00:00:00.000000,20200600,20200900,20200900
2020-09-13 22:00:00.000000,20200900,20201200,20201200
2020-12-13 23:00:00.000000,20201200,20210300,20210300
2021-03-12 00:00:00.000000,20210300,20210600,20210600
2021-06-13 22:00:00.000000,20210600,20210900,20210900
2021-09-13 00:00:00.000000,20210900,20211200,20211200
2021-12-13 00:00:00.000000,20211200,20220300,20220300
2022-03-13 22:00:00.000000,20220300,20220600,20220600
2022-06-13 00:00:00.000000,20220600,20220900,20220900
2022-09-13 00:00:00.000000,20220900,20221200,20221200
2022-12-13 00:00:00.000000,20221200,20230300,20230300
2023-03-13 00:00:00.000000,20230300,20230600,20230600
2023-06-13 00:00:00.000000,20230600,20230900,20230900
2023-09-13 00:00:00.000000,20230900,20231200,20231200
2023-12-13 00:00:00.000000,20231200,20240300,20240300
2024-03-13 00:00:00.000000,20240300,20240600,20240600
2024-06-13 00:00:00.000000,20240600,20240900,20240900
2024-09-13 05:00:00.000000,20240900,20241200,20241200
2024-12-13 15:00:00.000000,20241200,20250300,20250300
2025-03-13 13:30:00.000000,20250300,20250600,20250600
2025-06-13 13:30:00.000000,20250600,20250900,20250900
2025-09-12 13:30:00.000000,20250900,20251200,20251200
2025-12-12 14:30:00.000000,20251200,20260300,20260300
2026-03-12 13:30:00.000000,20260300,20260600,20260600
2026-06-12 13:30:00.000000,20260600,20260900,20260900
2026-06-20 09:04:11.272331,20260900,20261200,20261200
