DATE_TIME,current_contract,next_contract,carry_contract
2008-12-01 07:00:00.000000,20081200,20090300,20080900
2009-02-10 00:00:00.000000,20090300,20090500,20081200
2009-04-12 22:00:00.000000,20090500,20090700,20090300
2009-06-12 00:00:00.000000,20090700,20090900,20090500
2009-09-02 05:00:00.000000,20090900,20091200,20090700
2009-12-01 06:00:00.000000,20091200,20100300,20090900
2010-02-10 00:00:00.000000,20100300,20100500,20091200
2010-04-12 00:00:00.000000,20100500,20100700,20100300
2010-06-11 00:00:00.000000,20100700,20100900,20100500
2010-09-02 05:00:00.000000,20100900,20101200,20100700
2010-12-01 06:00:00.000000,20101200,20110300,20100900
2011-02-10 00:00:00.000000,20110300,20110500,20101200
2011-04-12 00:00:00.000000,20110500,20110700,20110300
2011-06-12 22:00:00.000000,20110700,20110900,20110500
2011-09-02 06:00:00.000000,20110900,20111200,20110700
2011-12-02 06:00:00.000000,20111200,20120300,20110900
2012-02-10 02:00:00.000000,20120300,20120500,20111200
2012-04-12 02:00:00.000000,20120500,20120700,20120300
2012-06-12 00:00:00.000000,20120700,20120900,20120500
2012-09-02 22:00:00.000000,20120900,20121200,20120700
2012-12-02 23:00:00.000000,20121200,20130300,20120900
2013-02-10 23:00:00.000000,20130300,20130500,20121200
2013-04-12 00:00:00.000000,20130500,20130700,20130300
2013-06-12 00:00:00.000000,20130700,20130900,20130500
2013-09-02 05:00:00.000000,20130900,20131200,20130700
2013-12-01 23:00:00.000000,20131200,20140300,20130900
2014-02-10 00:00:00.000000,20140300,20140500,20131200
2014-04-11 00:00:00.000000,20140500,20140700,20140300
2014-06-12 01:00:00.000000,20140700,20140900,20140500
2014-09-02 05:00:00.000000,20140900,20141200,20140700
2014-12-01 06:00:00.000000,20141200,20150300,20140900
2015-02-10 01:00:00.000000,20150300,20150500,20141200
2015-04-12 22:00:00.000000,20150500,20150700,20150300
2015-06-12 00:00:00.000000,20150700,20150900,20150500
2015-09-02 05:00:00.000000,20150900,20151200,20150700
2015-12-02 06:00:00.000000,20151200,20160300,20150900
2016-02-11 00:00:00.000000,20160300,20160500,20151200
2016-04-12 00:00:00.000000,20160500,20160700,20160300
2016-06-12 22:00:00.000000,20160700,20160900,20160500
2016-09-02 05:00:00.000000,20160900,20161200,20160700
2016-12-01 06:00:00.000000,20161200,20170300,20160900
2017-02-10 00:00:00.000000,20170300,20170500,20161200
2017-04-12 00:00:00.000000,20170500,20170700,20170300
2017-06-12 00:00:00.000000,20170700,20170900,20170500
2017-09-03 22:00:00.000000,20170900,20171200,20170700
2017-12-01 06:00:00.000000,20171200,20180300,20170900
2018-02-09 00:00:00.000000,20180300,20180500,20171200
2018-04-12 00:00:00.000000,20180500,20180700,20180300
2018-06-12 00:00:00.000000,20180700,20180900,20180500
2018-09-02 22:00:00.000000,20180900,20181200,20180700
2018-12-02 23:00:00.000000,20181200,20190300,20180900
2019-02-10 23:00:00.000000,20190300,20190500,20181200
2019-04-12 00:00:00.000000,20190500,20190700,20190300
2019-06-12 00:00:00.000000,20190700,20190900,20190500
2019-09-02 05:00:00.000000,20190900,20191200,20190700
2019-12-02 06:00:00.000000,20191200,20200300,20190900
2020-02-11 00:00:00.000000,20200300,20200500,20191200
2020-04-12 22:00:00.000000,20200500,20200700,20200300
2020-06-12 00:00:00.000000,20200700,20200900,20200500
2020-09-02 05:00:00.000000,20200900,20201200,20200700
2020-12-01 06:00:00.000000,20201200,20210300,20201100
2021-02-10 00:00:00.000000,20210300,20210500,20210200
2021-04-12 00:00:00.000000,20210500,20210700,20210400
2021-06-11 00:00:00.000000,20210700,20210900,20210600
2021-09-02 05:00:00.000000,20210900,20211200,20210800
2021-12-01 06:00:00.000000,20211200,20220300,20211100
2022-02-10 00:00:00.000000,20220300,20220500,20220200
2022-04-12 00:00:00.000000,20220500,20220700,20220400
2022-06-12 22:00:00.000000,20220700,20220900,20220600
2022-09-02 05:00:00.000000,20220900,20221200,20220800
2022-12-01 06:00:00.000000,20221200,20230300,20221100
2023-02-10 00:00:00.000000,20230300,20230500,20230200
2023-04-12 00:00:00.000000,20230500,20230700,20230400
2023-06-12 00:00:00.000000,20230700,20230900,20230600
2023-09-03 22:00:00.000000,20230900,20231200,20230800
2023-12-03 23:00:00.000000,20231200,20240300,20231100
2024-02-11 23:00:00.000000,20240300,20240500,20240200
2024-04-12 00:00:00.000000,20240500,20240700,20240400
2024-06-12 00:00:00.000000,20240700,20240900,20240600
2024-08-13 00:00:00.000000,20240900,20241200,20240800
2024-11-12 15:00:00.000000,20241200,20250300,20241100
2025-02-10 15:00:00.000000,20250300,20250500,20250200
2025-04-10 13:30:00.000000,20250500,20250700,20250400
2025-06-12 23:00:00.000000,20250700,20250900,20250600
2025-08-13 13:30:00.000000,20250900,20251200,20250800
2025-11-12 14:30:00.000000,20251200,20260300,20251100
2026-02-10 15:00:00.000000,20260300,20260500,20260200
2026-06-20 09:06:43.288468,20260500,20260700,20260400
