DATE_TIME,current_contract,next_contract,carry_contract
2014-11-26 06:00:00.000000,20141200,20151200,20140900
2015-11-27 06:00:00.000000,20151200,20161200,20150900
2016-11-28 01:00:00.000000,20161200,20171200,20160900
2017-11-27 01:00:00.000000,20171200,20181200,20170900
2018-11-26 06:00:00.000000,20181200,20191200,20180900
2019-11-27 06:00:00.000000,20191200,20201200,20190900
2020-11-27 06:00:00.000000,20201200,20211200,20200900
2021-11-26 06:00:00.000000,20211200,20221200,20210900
2022-11-28 01:00:00.000000,20221200,20231200,20220900
2023-09-13 14:00:00.000000,20231200,20241200,20230900
2024-08-23 10:00:00.000000,20241200,20251200,20240900
2025-09-12 23:00:00.000000,20251200,20261200,20250900
2026-06-20 09:06:19.207268,20261200,20271200,20260900
